network,station,latitude,longitude,elevation
CI,JRC2BH,35.982,-117.809,1.469
CI,JRC2HH,35.982,-117.809,1.469
CI,JRC2HN,35.982,-117.809,1.469
CI,MPMBH,36.058,-117.489,1.839
CI,MPMHH,36.058,-117.489,1.839
CI,WCS2BH,36.025,-117.765,1.143
CI,WCS2HH,36.025,-117.765,1.143
CI,WCS2HN,36.025,-117.765,1.143
CI,WMFBH,36.118,-117.855,1.5374
CI,WMFHH,36.118,-117.855,1.5374
CI,WMFHN,36.118,-117.855,1.5374
CI,WNMEH,35.842,-117.906,0.9743
CI,WNMHN,35.842,-117.906,0.9743
CI,WRC2BH,35.948,-117.65,0.943
CI,WRC2HH,35.948,-117.65,0.943
CI,WRC2HN,35.948,-117.65,0.943
CI,WRV2EH,36.008,-117.89,1.07
CI,WRV2HN,36.008,-117.89,1.07
CI,WVP2EH,35.949,-117.818,1.465
CI,WVP2HN,35.949,-117.818,1.465
