network,station,latitude,longitude,elevation,phasetype,Time,Probability,Amplitude
CI,WMFBH,36.118,-117.855,1.5374,P,2019-07-04T00:46:48.810000Z,0.970676302909851,6.03321404923918E-06
CI,WMFHN,36.118,-117.855,1.5374,P,2019-07-04T00:46:48.830000Z,0.977662682533264,7.45651959732641E-06
CI,WMFHH,36.118,-117.855,1.5374,P,2019-07-04T00:46:48.830000Z,0.982461035251617,8.11864902061643E-06
CI,WRV2EH,36.008,-117.89,1.07,P,2019-07-04T00:46:49.490000Z,0.984054505825042,2.77399044534832E-06
CI,WRV2HN,36.008,-117.89,1.07,P,2019-07-04T00:46:49.490000Z,0.974999725818634,2.59925445789122E-06
CI,WMFBH,36.118,-117.855,1.5374,S,2019-07-04T00:46:49.700000Z,0.94103592634201,6.03321404923918E-06
CI,WMFHH,36.118,-117.855,1.5374,S,2019-07-04T00:46:49.710000Z,0.911639511585235,8.11864902061643E-06
CI,WMFHN,36.118,-117.855,1.5374,S,2019-07-04T00:46:49.750000Z,0.74415785074234,7.45651959732641E-06
CI,WCS2BH,36.025,-117.765,1.143,P,2019-07-04T00:46:50.070000Z,0.862505435943603,2.0523573311948E-06
CI,WCS2HN,36.025,-117.765,1.143,P,2019-07-04T00:46:50.070000Z,0.848395824432373,2.11067981581436E-06
CI,WCS2HH,36.025,-117.765,1.143,P,2019-07-04T00:46:50.080000Z,0.930786073207855,2.90714569928241E-06
CI,JRC2BH,35.982,-117.809,1.469,P,2019-07-04T00:46:50.190000Z,0.970737397670745,2.65702306023741E-06
CI,JRC2HN,35.982,-117.809,1.469,P,2019-07-04T00:46:50.220000Z,0.976070463657379,3.09792631014716E-06
CI,JRC2HH,35.982,-117.809,1.469,P,2019-07-04T00:46:50.220000Z,0.979526460170745,4.50081051894813E-06
CI,WVP2EH,35.949,-117.818,1.465,P,2019-07-04T00:46:50.620000Z,0.310814827680587,8.36371498280641E-07
CI,WVP2HN,35.949,-117.818,1.465,P,2019-07-04T00:46:50.820000Z,0.358865439891815,1.51746382925921E-06
CI,WRV2EH,36.008,-117.89,1.07,S,2019-07-04T00:46:51.030000Z,0.597596347332,9.16889575819369E-07
CI,WRV2HN,36.008,-117.89,1.07,S,2019-07-04T00:46:51.120000Z,0.43747192621231,9.99258304545947E-07
CI,WCS2BH,36.025,-117.765,1.143,S,2019-07-04T00:46:51.720000Z,0.527785956859588,2.0523573311948E-06
CI,WCS2HN,36.025,-117.765,1.143,S,2019-07-04T00:46:51.800000Z,0.552166521549224,2.11067981581436E-06
CI,WCS2HH,36.025,-117.765,1.143,S,2019-07-04T00:46:51.800000Z,0.791284382343292,2.90714569928241E-06
CI,JRC2BH,35.982,-117.809,1.469,S,2019-07-04T00:46:52.080000Z,0.945294857025146,2.65702306023741E-06
CI,JRC2HN,35.982,-117.809,1.469,S,2019-07-04T00:46:52.090000Z,0.897185027599334,3.09792631014716E-06
CI,JRC2HH,35.982,-117.809,1.469,S,2019-07-04T00:46:52.090000Z,0.955123364925384,4.50081051894813E-06
CI,WRC2HH,35.948,-117.65,0.943,P,2019-07-04T00:46:52.420000Z,0.961499154567718,4.97256110065791E-07
CI,WRC2BH,35.948,-117.65,0.943,P,2019-07-04T00:46:52.430000Z,0.933298468589782,4.88561852307612E-07
CI,WNMEH,35.842,-117.906,0.9743,P,2019-07-04T00:46:52.460000Z,0.966275990009307,5.23292726484215E-07
CI,WNMHN,35.842,-117.906,0.9743,P,2019-07-04T00:46:52.490000Z,0.938557863235473,1.04344496776321E-06
CI,WRC2HN,35.948,-117.65,0.943,P,2019-07-04T00:46:52.560000Z,0.465749740600585,5.7331271818839E-07
CI,WVP2HN,35.949,-117.818,1.465,S,2019-07-04T00:46:52.990000Z,0.885990917682647,1.51746382925921E-06
CI,WVP2EH,35.949,-117.818,1.465,S,2019-07-04T00:46:52.990000Z,0.853926122188568,8.36371498280641E-07
CI,MPMBH,36.058,-117.489,1.839,P,2019-07-04T00:46:53.910000Z,0.911617219448089,2.80164925925419E-07
CI,MPMHH,36.058,-117.489,1.839,P,2019-07-04T00:46:53.910000Z,0.865886569023132,1.36939391381929E-07
CI,WRC2HH,35.948,-117.65,0.943,S,2019-07-04T00:46:55.910000Z,0.768053889274597,4.97256110065791E-07
CI,WRC2BH,35.948,-117.65,0.943,S,2019-07-04T00:46:55.930000Z,0.779486775398254,4.88561852307612E-07
CI,WRC2HN,35.948,-117.65,0.943,S,2019-07-04T00:46:56.010000Z,0.757099568843841,5.7331271818839E-07
CI,WNMHN,35.842,-117.906,0.9743,S,2019-07-04T00:46:56.090000Z,0.854154527187347,1.04344496776321E-06
CI,WNMEH,35.842,-117.906,0.9743,S,2019-07-04T00:46:56.110000Z,0.757392227649688,5.23292726484215E-07
CI,MPMHH,36.058,-117.489,1.839,S,2019-07-04T00:46:58.540000Z,0.773537755012512,1.36939391381929E-07
CI,MPMBH,36.058,-117.489,1.839,S,2019-07-04T00:46:58.570000Z,0.716536939144134,2.80164925925419E-07
CI,WMFBH,36.118,-117.855,1.5374,P,2019-07-04T00:47:30.110000Z,0.796954631805419,7.58330713779287E-07
CI,WMFHH,36.118,-117.855,1.5374,P,2019-07-04T00:47:30.120000Z,0.975058078765869,6.80792197726987E-07
CI,WMFHN,36.118,-117.855,1.5374,P,2019-07-04T00:47:30.140000Z,0.849339604377746,7.15336852863402E-07
CI,WRV2EH,36.008,-117.89,1.07,P,2019-07-04T00:47:30.780000Z,0.89773005247116,2.54786328923728E-07
CI,WMFHH,36.118,-117.855,1.5374,S,2019-07-04T00:47:31.010000Z,0.8323575258255,6.80792197726987E-07
CI,WMFBH,36.118,-117.855,1.5374,S,2019-07-04T00:47:31.030000Z,0.749185979366302,7.58330713779287E-07
CI,WMFHN,36.118,-117.855,1.5374,S,2019-07-04T00:47:31.160000Z,0.651149690151214,7.15336852863402E-07
CI,WRV2EH,36.008,-117.89,1.07,S,2019-07-04T00:47:33.040000Z,0.32772096991539,1.05012261997217E-07
